OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,
1639523,LOP221119001023,38TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,242,BATTERY,1668890784000,6064593,2109147,C,23X,CCD5,11/19/22  8:46:24 PM,1668898358000,23,4,2
1639524,LOP221119001045,396 BELLEVUE AV,BELLEVUE AV,SLEEP,SLEEPER,1668892725000,6055403,2122373,C,14X,CCD3,11/19/22  9:18:45 PM,1668898709000,14,2,2
1639612,LOP221119000930,2361 E 29TH ST,E 29TH ST,911H,911 HANG-UP,1668884508000,6063110,2116641,C,21X,CCD5,11/19/22  7:01:48 PM,1668884553000,21,3,2
1639613,LOP221119000929,2450 61ST AV,61ST AV,911N,POLICE RELATED MATTE,1668884507000,6072975,2106927,C,27Y,CCD6,11/19/22  7:01:47 PM,1668884507000,27,4,3
1639614,LOP221119000931,15TH ST&FRANKLIN ST,ST&FRANKLIN ST,5150,MENTALLY ILL,1668884693000,6050520,2120349,C,04X,CCD3,11/19/22  7:04:53 PM,1668884825000,4,1,1
1639615,LOP221119000932,2616 22ND AV,22ND AV,911H,911 HANG-UP,1668884722000,6062464,2115627,C,18Y,CCD2,11/19/22  7:05:22 PM,1668890981000,18,3,2
1639616,LOP221119000934,2126 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,911C,911 HANG UP FROM CP,1668884770000,6049417,2122675,C,04X,CCD3,11/19/22  7:06:10 PM,1668885604000,4,1,1
1639617,LOP221119000936,1209 92ND AV,92ND AV,CODE7,SUBJECT ARMED WITH W,1668884825000,6076854,2098822,C,33X,CCD7,11/19/22  7:07:05 PM,1668889602000,33,5,3
1639618,LOP221119000935,1160 70TH AV,70TH AV,MSDIAL,MISDIAL,1668884798000,6072757,2103316,C,26Y,CCD7,11/19/22  7:06:38 PM,1668884798000,26,4,3
1639619,LOP221119000937,2006 E 23RD ST,E 23RD ST,EVAL,EVALUATION,1668884876000,6060745,2115589,C,18Y,CCD2,11/19/22  7:07:56 PM,1668906834000,18,3,2
1639620,LOP221119000938,2060 FAIRMONT DR,FAIRMONT DR,JGP,,1668884917000,6092591,2084985,C,35Y,,11/19/22  7:08:37 PM,1668902435000,35,5,3
1639621,LOP221119000939,7515 INTERNATIONAL BLVD,INTERNATIONAL BLVD,911C,911 HANG UP FROM CP,1668885006000,6074450,2102986,C,26Y,CCD7,11/19/22  7:10:06 PM,1668885006000,26,4,3
1639622,LOP221119000940,1427 69TH AV,69TH AV,415C,415 UNKNOWN,1668885122000,6073120,2103958,C,30X,CCD6,11/19/22  7:12:02 PM,1668905058000,30,5,3
