OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,
1638548,LOP221118000895,LAKE PARK AV&LAKESHORE AV,PARK AV&LAKESHORE AV,20002,HIT & RUN (PROPERTY,1668798118000,6057244,2122127,C,14Y,CCD2,11/18/22  7:01:58 PM,1668798262000,14,2,2
1638549,LOP221118000896,1000 8TH ST,8TH ST,SECCK,SECURITY CHECK,1668798222000,6046092,2120199,C,02X,CCD3,11/18/22  7:03:42 PM,1668813227000,2,1,1
1638550,LOP221118000897,324 105TH AV,105TH AV,10851,STOLEN VEHICLE,1668798258000,6075441,2091791,C,31Z,CCD7,11/18/22  7:04:18 PM,1668824911000,31,5,3
1638551,LOP221118000898,14TH ST&UNION ST,ST&UNION ST,911N,POLICE RELATED MATTE,1668798430000,6045081,2122351,C,02X,CCD3,11/18/22  7:07:10 PM,1668798430000,2,1,1
1638552,LOP221118000899,6228 TEVIS ST,TEVIS ST,415C,415 UNKNOWN,1668798516000,6070024,2104099,C,26Y,CCD6,11/18/22  7:08:36 PM,1668847546000,26,4,3
1638553,LOP221118000900,5109 PINECREST DR,PINECREST DR,HAZ,HAZARDOUS SITUATION/,1668798563000,6087146,2109613,C,25Y,CCD6,11/18/22  7:09:23 PM,1668798563000,25,4,2
1638554,LOP221118000901,10700 MACARTHUR BLVD,MACARTHUR BLVD,242,BATTERY,1668798645000,6084124,2096992,C,32Y,CCD7,11/18/22  7:10:45 PM,1668823759000,32,5,3
1638555,LOP221118000905,455 7TH ST,7TH ST,MP,MISSING PERSON,1668798753000,6049039,2118440,C,03Y,CCD3,11/18/22  7:12:33 PM,1668807471000,3,1,1
1638556,LOP221118000903,1954 48TH AV,48TH AV,970B,AUTO BLOCKING DRIVEW,1668798709000,6068235,2108542,C,27X,CCD4,11/18/22  7:11:49 PM,1668866218000,27,4,3
1638557,LOP221118000902,3535 HOLLIS ST,HOLLIS ST,211,ROBBERY,1668798696000,6046189,2129063,C,07X,CCD3,11/18/22  7:11:36 PM,1668801013000,7,1,1
1638558,LOP221118000906,104 OAK ST,OAK ST,459AU,AUTO BURGLARY,1668798762000,6050803,2115866,C,01X,CCD3,11/18/22  7:12:42 PM,1668798762000,1,1,1
1638559,LOP221118000907,14TH ST&UNION ST,ST&UNION ST,911N,POLICE RELATED MATTE,1668798796000,6045081,2122351,C,02X,CCD3,11/18/22  7:13:16 PM,1668798796000,2,1,1
1638560,LOP221118000909,3035 CHAMPION ST,CHAMPION ST,R10851,RECOVERED STOLEN VEH,1668798873000,6065592,2116353,C,21Y,CCD5,11/18/22  7:14:33 PM,1668810561000,21,3,2
