OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,
1637576,LOP221117000957,3430 FOOTHILL BLVD,FOOTHILL BLVD,945A,AMBULANCE REQUESTED,1668711756000,6064678,2112057,C,24X,CCD5,11/17/22  7:02:36 PM,1668714116000,24,4,2
1637577,LOP221117000959,EB I580&LAKESHORE AV,I580&LAKESHORE AV,BCAST,BROADCAST,1668711883000,6057118,2121996,C,15X,CCD2,11/17/22  7:04:43 PM,1668712082000,15,3,2
1637578,LOP221117000963,2112 FRUITVALE AV,FRUITVALE AV,911C,911 HANG UP FROM CP,1668712025000,6063940,2112660,P,21Y,CCD5,11/17/22  7:07:05 PM,1668712028000,21,3,2
1637579,LOP221117000962,400 12TH ST,12TH ST,976,CAR STOP,1668712021000,6050081,2119522,C,03X,CCD2,11/17/22  7:07:01 PM,1668713447000,3,1,1
1637580,LOP221117000964,1741 84TH AV,84TH AV,415C,415 UNKNOWN,1668712041000,6077775,2102189,C,34X,CCD6,11/17/22  7:07:21 PM,1668773407000,34,5,3
1637581,LOP221117000966,8350 EDES AV,EDES AV,945A,AMBULANCE REQUESTED,1668712130000,6071561,2097833,C,31Y,CCD7,11/17/22  7:08:50 PM,1668712130000,31,5,3
1637582,LOP221117000968,3106 CHAMPION ST,CHAMPION ST,243E,BATTERY ON CO-HABITA,1668712174000,6065719,2116740,P,21Y,CCD5,11/17/22  7:09:34 PM,1668712174000,21,3,2
1637583,LOP221117000967,14TH ST&BROADWAY,ST&BROADWAY,976,CAR STOP,1668712140000,6049992,2120170,C,03Y,CCD3,11/17/22  7:09:00 PM,1668713261000,3,1,1
1637584,LOP221117000970,6689 BANCROFT AV,BANCROFT AV,911C,911 HANG UP FROM CP,1668712264000,6075813,2106940,C,30X,CCD6,11/17/22  7:11:04 PM,1668735246000,30,5,3
1637585,LOP221117000971,214 JOHN ST,JOHN ST,PDOA,POSSIBLE DEAD PERSON,1668712413000,6056004,2129652,C,09X,CCD1,11/17/22  7:13:33 PM,1668724488000,9,2,1
1637586,LOP221117000973,12TH ST&BROADWAY,ST&BROADWAY,976,CAR STOP,1668712519000,6049731,2119681,C,03Y,CCD3,11/17/22  7:15:19 PM,1668712975000,3,1,1
1637587,LOP221117000972,50 ALVARADO PL,ALVARADO PL,911C,911 HANG UP FROM CP,1668712500000,6059238,2139759,C,13Y,CCD1,11/17/22  7:15:00 PM,1668712565000,13,2,1
1637588,LOP221117000974,2344 WEBSTER ST,WEBSTER ST,415C,415 UNKNOWN,1668712650000,6051822,2123140,C,08X,CCD3,11/17/22  7:17:30 PM,1668718965000,8,2,1
