OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,
1636544,LOP221116000926,17TH ST&BROADWAY,ST&BROADWAY,245,ASSAULT W/DEADLY WEA,1668625348000,6050429,2121017,C,04X,CCD3,11/16/22  7:02:28 PM,1668683725000,4,1,1
1636545,LOP221116000927,GRAND AV&STATEN AV,AV&STATEN AV,901A,VEHICLE COLLISION-PE,1668625521000,6055036,2121701,C,14X,CCD3,11/16/22  7:05:21 PM,1668629720000,14,2,2
1636546,LOP221116000928,6400 MACARTHUR BLVD,MACARTHUR BLVD,415N,DISTURBANCE-NEIGHBOR,1668625563000,6076247,2108618,C,29X,CCD6,11/16/22  7:06:03 PM,1668652323000,29,5,3
1636547,LOP221116000930,73RD AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,415C,415 UNKNOWN,1668625693000,6074001,2103290,C,26Y,CCD7,11/16/22  7:08:13 PM,1668652554000,26,4,3
1636548,LOP221116000933,4TH ST&JACKSON ST,ST&JACKSON ST,459AU,AUTO BURGLARY,1668625813000,6050402,2116812,C,01X,CCD3,11/16/22  7:10:13 PM,1668625813000,1,1,1
1636549,LOP221116000932,389 GRAND AV,GRAND AV,911C,911 HANG UP FROM CP,1668625800000,6054911,2121696,C,14X,CCD3,11/16/22  7:10:00 PM,1668626517000,14,2,2
1636550,LOP221116000934,1800 9TH ST,9TH ST,R10851,RECOVERED STOLEN VEH,1668625817000,6041111,2122520,C,02Y,CCD3,11/16/22  7:10:17 PM,1668632625000,2,1,1
1636551,LOP221116000935,740 5TH AV,5TH AV,459AU,AUTO BURGLARY,1668625840000,6053678,2115842,C,19X,CCD2,11/16/22  7:10:40 PM,1668625840000,19,3,2
1636552,LOP221116000936,1511 JEFFERSON ST,JEFFERSON ST,459AU,AUTO BURGLARY,1668625886000,6049087,2120999,C,04X,CCD3,11/16/22  7:11:26 PM,1668667263000,4,1,1
1636553,LOP221116000937,2700 SAN PABLO AV,SAN PABLO AV,211S,SILENT ROBBERY ALARM,1668625933000,6048821,2125100,C,06X,CCD3,11/16/22  7:12:13 PM,1668631508000,6,1,1
1636554,LOP221116000938,1600 FOOTHILL BLVD,FOOTHILL BLVD,SECCK,SECURITY CHECK,1668625998000,6058168,2114820,A,18X,CCD2,11/16/22  7:13:18 PM,1668625998000,18,3,2
1636555,LOP221116000939,3856 35TH AV,35TH AV,484LP,STOLEN LICENSE PLATE,1668626015000,6071289,2116631,P,25X,CCD4,11/16/22  7:13:35 PM,1668626041000,25,4,2
