OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
1636371,LOP221116000722,LAKESIDE DR&MADISON ST,DR&MADISON ST,415J,DISTURBANCE-JUVENILE,1668613120000,6052639,2120384,C,04X,CCD3,11/16/22  3:38:40 PM,1668637620000,4,1,1
1636372,LOP221116000726,604 22ND ST,22ND ST,415E,LOUD MUSIC,1668613209000,6049820,2122813,P,04X,CCD3,11/16/22  3:40:09 PM,1668613230000,4,1,1
1636373,LOP221116000725,1603 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,5150,MENTALLY ILL,1668613195000,6048863,2121392,C,04X,CCD3,11/16/22  3:39:55 PM,1668625420000,4,1,1
1636374,LOP221116000728,449 PHELPS ST,PHELPS ST,278_5,VIOLATION OF CUSTODY,1668613224000,6072614,2095527,P,31Y,CCD7,11/16/22  3:40:24 PM,1668613224000,31,5,3
1636375,LOP221116000727,2907 HIGH ST,HIGH ST,211,ROBBERY,1668613222000,6069914,2112342,C,24Y,CCD4,11/16/22  3:40:22 PM,1668671993000,24,4,2
1636376,LOP221116000729,695 HEGENBERGER RD,HEGENBERGER RD,911C,911 HANG UP FROM CP,1668613305000,6071172,2099886,C,31X,CCD7,11/16/22  3:41:45 PM,1668613305000,31,5,3
1636377,LOP221116000733,75TH AV&BANCROFT AV,AV&BANCROFT AV,HAZ,HAZARDOUS SITUATION/,1668613646000,6077314,2105328,C,30Y,CCD6,11/16/22  3:47:26 PM,1668670734000,30,5,3
1636378,LOP221116000732,7273 OAKPORT ST,OAKPORT ST,911N,POLICE RELATED MATTE,1668613621000,6068919,2099669,C,31X,CCD7,11/16/22  3:47:01 PM,1668613621000,31,5,3
1636379,LOP221116000735,555 19TH ST,19TH ST,242,BATTERY,1668613681000,6049870,2121728,C,04X,CCD3,11/16/22  3:48:01 PM,1668652544000,4,1,1
1636380,LOP221116000737,SB EMBARCADERO OFFRP E&SB I880,EMBARCADERO OFFRP E&SB I880,901,VEHICLE COLLISION/PR,1668613737000,6056567,2113872,C,19X,CCD2,11/16/22  3:48:57 PM,1668613737000,19,3,2
1636381,LOP221116000738,2112 FRUITVALE AV,FRUITVALE AV,415C,415 UNKNOWN,1668613858000,6063940,2112660,C,21Y,CCD5,11/16/22  3:50:58 PM,1668626435000,21,3,2
1636382,LOP221116000739,5814 ELIZABETH ST,ELIZABETH ST,970C,AUTO IN RESTRICED ZO,1668613884000,6071873,2107127,P,27Y,CCD6,11/16/22  3:51:24 PM,1668616462000,27,4,3
1636383,LOP221116000740,6TH ST&BROADWAY,ST&BROADWAY,912,SUSPICIOUS PERSON,1668613906000,6048958,2118191,C,03Y,CCD3,11/16/22  3:51:46 PM,1668618876000,3,1,1
1636384,LOP221116000248,HEGENBERGER RD&LEET DR,RD&LEET DR,SPEC,SPECIAL ASSIGNMENT,1668588730000,6070497,2093752,C,31X,CCD7,11/16/22  8:52:10 AM,1668613975000,31,5,3
