OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1770724,LOP230614001011,5429 COLLEGE AV,COLLEGE AV,5150,MENTALLY ILL,1686770524000,"[-122.2514788, 37.8408768]",6055934,2133375,C,12Y,CCD1,06/14/23  7:22:04 PM,1686770701000,12,2,1
1770725,LOP230614001094,90TH AV&G ST,AV&G ST,929,FIRE,1686775068000,"[-122.1828393, 37.7458183]",6075129,2098404,C,33X,CCD7,06/14/23  8:37:48 PM,1686775427000,33,5,3
1770726,LOP230614001058,8TH ST&CAMPBELL ST,ST&CAMPBELL ST,SECCK,SECURITY CHECK,1686773552000,"[-122.2989495, 37.8073601]",6041994,2121433,C,02Y,CCD3,06/14/23  8:12:32 PM,1686778390000,2,1,1
1770850,LOP230614000994,4390 TELEGRAPH AV,TELEGRAPH AV,459AU,AUTO BURGLARY,1686769479000,"[-122.263572, 37.8322008]",6052383,2130282,C,12X,CCD1,06/14/23  7:04:39 PM,1686772183000,12,2,1
1770851,LOP230614000995,5121 FLEMING AV,FLEMING AV,945A,AMBULANCE REQUESTED,1686769532000,"[-122.1953626, 37.7781636]",6071722,2110245,C,28X,CCD6,06/14/23  7:05:32 PM,1686769536000,28,4,3
1770852,LOP230614000996,LOUISE ST&PERALTA ST,ST&PERALTA ST,415J,DISTURBANCE-JUVENILE,1686769636000,"[-122.2843981, 37.8233369]",6046308,2127169,C,07X,CCD3,06/14/23  7:07:16 PM,1686793901000,7,1,1
1770853,LOP230614000997,1803 ROSEDALE AV,ROSEDALE AV,10851,STOLEN VEHICLE,1686769661000,"[-122.2154973, 37.776238]",6065891,2109650,P,23X,CCD5,06/14/23  7:07:41 PM,1686775223000,23,4,2
1770854,LOP230614000998,1000 26TH ST,26TH ST,SECCK,SECURITY CHECK,1686769681000,"[-122.2796589, 37.8180549]",6047640,2125220,C,07X,CCD3,06/14/23  7:08:01 PM,1686773528000,7,1,1
1770855,LOP230614001000,35TH AV&MACARTHUR BLVD,AV&MACARTHUR BLVD,913TH,SUICIDE THREATS,1686769826000,"[-122.2006549, 37.7937688]",6070296,2115954,C,22Y,CCD4,06/14/23  7:10:26 PM,1686780232000,22,3,2
1770856,LOP230614000999,4101 PARK BLVD,PARK BLVD,933R,ALARM-RINGER,1686769825000,"[-122.2247678, 37.806323]",6063414,2120652,C,16Y,CCD5,06/14/23  7:10:25 PM,1686770996000,16,3,2
