OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,
1634616,LOP221114001027,1284 SEMINARY AV,SEMINARY AV,R10851,RECOVERED STOLEN VEH,1668465663000,6069937,2105071,C,26Y,CCD6,11/14/22 10:41:03 PM,1668536576000,26,4,3
1634617,LOP221114001030,530 24TH ST,24TH ST,A10851,ATTEMPTED AUTO THEFT,1668465844000,6050622,2123550,C,08X,CCD3,11/14/22 10:44:04 PM,1668495678000,8,2,1
1634618,LOP221114001029,4860 TELEGRAPH AV,TELEGRAPH AV,933R,ALARM-RINGER,1668465842000,6052655,2131457,C,12X,CCD1,11/14/22 10:44:02 PM,1668468092000,12,2,1
1634619,LOP221114001032,537 32ND ST,32ND ST,BCAST,BROADCAST,1668466060000,6051160,2126227,C,08X,CCD3,11/14/22 10:47:40 PM,1668466466000,8,2,1
1634620,LOP221114001033,70 VERNON ST,VERNON ST,23103,RECKLESS DRIVING,1668466219000,6053405,2123186,C,14X,CCD3,11/14/22 10:50:19 PM,1668466817000,14,2,2
1634621,LOP221114001035,36TH ST&MARTIN LUTHER KING JR WY,ST&MARTIN LUTHER KING JR WY,10851,STOLEN VEHICLE,1668466510000,6050589,2127726,C,06X,CCD1,11/14/22 10:55:10 PM,1668472562000,6,1,1
1634623,LOP221114001037,2938 68TH AV,68TH AV,933R,ALARM-RINGER,1668466571000,6077134,2107552,C,29X,CCD6,11/14/22 10:56:11 PM,1668466665000,29,5,3
1634624,LOP221114001039,7101 EDGEWATER DR,EDGEWATER DR,FUEL,FUEL VEHICLE,1668466836000,6067451,2099631,C,31X,CCD7,11/14/22 11:00:36 PM,1668467618000,31,5,3
1634625,LOP221114001038,ISABELLA ST&SAN PABLO AV,ST&SAN PABLO AV,SECCK,SECURITY CHECK,1668466794000,6049058,2124025,C,07X,CCD3,11/14/22 10:59:54 PM,1668470857000,7,1,1
1634641,LOP221114001040,2520 WEST ST,WEST ST,5150,MENTALLY ILL,1668467012000,6049066,2124289,C,06X,CCD3,11/14/22 11:03:32 PM,1668468945000,6,1,1
1634642,LOP221114001036,9201 HILLSIDE ST,HILLSIDE ST,WELCK,WELFARE CHECK -- CHE,1668466524000,6080994,2101111,C,35X,CCD7,11/14/22 10:55:24 PM,1668467519000,35,5,3
1634643,LOP221114001042,E 15TH ST&16TH AV,15TH ST&16TH AV,SECCK,SECURITY CHECK,1668467425000,6057915,2114511,C,19X,CCD2,11/14/22 11:10:25 PM,1668468444000,19,3,2
1634644,LOP221114001044,2301 96TH AV,96TH AV,415SS,415 SHOT SPOTTER GUN,1668467456000,6081200,2099943,C,35X,CCD7,11/14/22 11:10:56 PM,1668470401000,35,5,3
